Correct answer	Answer Type	Asset Type	Asset File	Possible answers	Randomize answers	question
22	point estimate	Image	Taj_Mahal.png	no answers	true	estimate the number of years it took to build the building.
1.25	point estimate	Image	Empire_State_Building.png	no answers	true	estimate the number of years it took to build the building.
10	point estimate	Image	Red_Fort.png	no answers	true	estimate the number of years it took to build the building.
5	point estimate	Image	Burj_Khalifa.png	no answers	true	estimate the number of years it took to build the building.
344	point estimate	Image	Leaning_Tower_of_Pisa.png	no answers	true	estimate the number of years it took to build the building.
2	point estimate	Image	Effiel_Tower.png	no answers	true	estimate the number of years it took to build the building.
13	point estimate	Image	Gateway_of_India.png	no answers	true	estimate the number of years it took to build the building.
2	point estimate	Image	Chrysler_Building.png	no answers	true	estimate the number of years it took to build the building.
3	point estimate	Image	Willis_Tower.png	no answers	true	estimate the number of years it took to build the building.
14	point estimate	Image	Forbidden_City.png	no answers	true	estimate the number of years it took to build the building.
3	point estimate	Image	30_St_Mary_Axe.png	no answers	true	estimate the number of years it took to build the building.
8	point estimate	Image	White_House.png	no answers	true	estimate the number of years it took to build the building.
1	point estimate	Image	Flatiron.png	no answers	true	estimate the number of years it took to build the building.
5	point estimate	Image	Taipei101.png	no answers	true	estimate the number of years it took to build the building.
8	point estimate	Image	International_Commerce_Centre.png	no answers	true	estimate the number of years it took to build the building.
39	point estimate	Image	Basilica_of_Sacred_Heart.png	no answers	true	estimate the number of years it took to build the building.
3	point estimate	Image	Union.png	no answers	true	estimate the number of years it took to build the building.
3	point estimate	Image	Petronas_Towers.png	no answers	true	estimate the number of years it took to build the building.
4	point estimate	Image	John_Hancock.png	no answers	true	estimate the number of years it took to build the building.
14	point estimate	Image	Sydney_Opera_House.png	no answers	true	estimate the number of years it took to build the building.
