correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
2.5	point estimate	image	object_weight_1.jpg	no answers	false	estimate the weight of the following object.
5	point estimate	image	object_weight_2.jpg	no answers	false	estimate the weight of the following object.
23	point estimate	image	object_weight_3.jpg	no answers	false	estimate the weight of the following object.
8.5	point estimate	image	object_weight_4.jpg	no answers	false	estimate the weight of the following object.
0.56	point estimate	image	object_weight_5.jpg	no answers	false	estimate the weight of the following object.
15	point estimate	image	object_weight_6.jpg	no answers	false	estimate the weight of the following object.
72	point estimate	image	object_weight_7.jpg	no answers	false	estimate the weight of the following object.
1995	point estimate	image	object_weight_8.jpg	no answers	false	estimate the weight of the following object.
950	point estimate	image	object_weight_9.jpg	no answers	false	estimate the weight of the following object.
113	point estimate	image	object_weight_10.jpg	no answers	false	estimate the weight of the following object.
2.38	point estimate	image	object_weight_11.jpg	no answers	false	estimate the weight of the following object.
5	point estimate	image	object_weight_12.jpg	no answers	false	estimate the weight of the following object.
14.8	point estimate	image	object_weight_13.jpg	no answers	false	estimate the weight of the following object.
0.9	point estimate	image	object_weight_14.jpg	no answers	false	estimate the weight of the following object.
45	point estimate	image	object_weight_15.jpg	no answers	false	estimate the weight of the following object.
1.78	point estimate	image	object_weight_16.jpg	no answers	false	estimate the weight of the following object.
20	point estimate	image	object_weight_17.jpg	no answers	false	estimate the weight of the following object.
64.4	point estimate	image	object_weight_18.jpg	no answers	false	estimate the weight of the following object.
7.5	point estimate	image	object_weight_19.jpg	no answers	false	estimate the weight of the following object.
129	point estimate	image	object_weight_20.jpg	no answers	false	estimate the weight of the following object.
