correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers	question
33	point estimate	image	celebs_beyonce_knowles.jpg	no answers	false	estimate the following celebrity's age.
29	point estimate	image	celebs_bruno_mars.jpg	no answers	false	estimate the following celebrity's age.
31	point estimate	image	celebs_calvin_harris.jpg	no answers	false	estimate the following celebrity's age.
50	point estimate	image	celebs_dr_dre.jpg	no answers	false	estimate the following celebrity's age.
57	point estimate	image	celebs_ellen_degeneres.jpg	no answers	false	estimate the following celebrity's age.
38	point estimate	image	celebs_floyd_mayweather.jpg	no answers	false	estimate the following celebrity's age.
45	point estimate	image	celebs_jay_z.jpg	no answers	false	estimate the following celebrity's age.
24	point estimate	image	celebs_jennifer_lawrence.jpg	no answers	false	estimate the following celebrity's age.
37	point estimate	image	celebs_kanye_west.jpg	no answers	false	estimate the following celebrity's age.
30	point estimate	image	celebs_katy_perry.jpg	no answers	false	estimate the following celebrity's age.
36	point estimate	image	celebs_kobe_bryant.jpg	no answers	false	estimate the following celebrity's age.
28	point estimate	image	celebs_lady_gaga.jpg	no answers	false	estimate the following celebrity's age.
30	point estimate	image	celebs_lebron_james.jpg	no answers	false	estimate the following celebrity's age.
21	point estimate	image	celebs_miley_cyrus.jpg	no answers	false	estimate the following celebrity's age.
61	point estimate	image	celebs_oprah_winfrey.jpg	no answers	false	estimate the following celebrity's age.
27	point estimate	image	celebs_rihanna.jpg	no answers	false	estimate the following celebrity's age.
49	point estimate	image	celebs_robert_downey_jr.jpg	no answers	false	estimate the following celebrity's age.
33	point estimate	image	celebs_roger_federer.jpg	no answers	false	estimate the following celebrity's age.
68	point estimate	image	celebs_steven_spielberg.jpg	no answers	false	estimate the following celebrity's age.
25	point estimate	image	celebs_taylor_swift.jpg	no answers	false	estimate the following celebrity's age.
