correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
2013	multiple choice	tsv	Question1.txt	2012, 2013, 2014, 2015	false
2014	multiple choice	tsv	Question2.txt	2012, 2013, 2014, 2015	false
2011	multiple choice	tsv	Question3.txt	2010, 2011, 2012, 2013	false
2011	multiple choice	tsv	Question4.txt	2010, 2011, 2012, 2013	false
2014	multiple choice	tsv	Question5.txt	2012, 2013, 2014, 2015	false
2013	multiple choice	tsv	Question6.txt	2012, 2013, 2014, 2015	false
2010	multiple choice	tsv	Question7.txt	2008, 2009, 2010, 2011	false
2012	multiple choice	tsv	Question8.txt	2010, 2011, 2012, 2013	false
2008	multiple choice	tsv	Question9.txt	2006, 2007, 2008, 2009	false
2013	multiple choice	tsv	Question10.txt	2012, 2013, 2014, 2015	false
2013	multiple choice	tsv	Question11.txt	2012, 2013, 2014, 2015	false
2011	multiple choice	tsv	Question12.txt	2010, 2011, 2012, 2013	false
2000	multiple choice	tsv	Question13.txt	1998, 1999, 2000, 2001	false
2012	multiple choice	tsv	Question14.txt	2010, 2011, 2012, 2013	false
2010	multiple choice	tsv	Question15.txt	2008, 2009, 2010, 2011	false
2011	multiple choice	tsv	Question16.txt	2010, 2011, 2012, 2013	false
2010	multiple choice	tsv	Question17.txt	2008, 2009, 2010, 2011	false
2010	multiple choice	tsv	Question18.txt	2008, 2009, 2010, 2011	false
2014	multiple choice	tsv	Question19.txt	2012, 2013, 2014, 2015	false
2009	multiple choice	tsv	Question20.txt	2008, 2009, 2010, 2011	false
