correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answers
0	point estimate	image	food_calories_100g_black_coffee.jpg	no answers	FALSE
18	point estimate	image	food_calories_100g_spinach.jpg	no answers	FALSE
105	point estimate	image	food_calories_1_glass_milk.jpg	no answers	FALSE
105	point estimate	image	food_calories_1_glass_beer.jpg	no answers	FALSE
110	point estimate	image	food_calories_1_glass_cola.jpg	no answers	FALSE
75	point estimate	image	food_calories_1_apple.jpg	no answers	FALSE
110	point estimate	image	food_calories_1_banana.jpg	no answers	FALSE
109	point estimate	image	food_calories_100g_grilled_fish.jpg	no answers	FALSE
110	point estimate	image	food_calories_100g_rice.jpg	no answers	FALSE
165	point estimate	image	food_calories_120g_wine.jpg	no answers	FALSE
195	point estimate	image	food_calories_100g_chicken_breast.jpg	no answers	FALSE
1360	point estimate	image	food_calories_dominos_vegetarian_supreme_medium_classic_crust_pizza.jpg	no answers	FALSE
250	point estimate	image	food_calories_100g_whisky.jpg	no answers	FALSE
400	point estimate	image	food_calories_6_slices_wheat_bread.jpg	no answers	FALSE
304	point estimate	image	food_calories_100g_honey.jpg	no answers	FALSE
353	point estimate	image	food_calories_3_eggs.jpg	no answers	FALSE
300	point estimate	image	food_calories_100g_french_fries.jpg	no answers	FALSE
529	point estimate	image	food_calories_100g_chocolate.jpg	no answers	FALSE
900	point estimate	image	food_calories_20_almonds.jpg	no answers	FALSE
4066	point estimate	image	food_calories_500ml_olive_oil.jpg	no answers	FALSE
